timestamp,elapsed_sec,latency_ms,type
1767954528.3760078,884.98,0.03,send_ack_simulated
1767954528.3763978,884.98,0.14,send_ack_simulated
1767954528.3766198,884.98,0.03,send_ack_simulated
1767954528.3768926,884.99,0.13,send_ack_simulated
1767954528.3770278,884.99,0.03,send_ack_simulated
1767954556.3811164,912.99,0.06,send_ack_simulated
1767954556.382695,912.99,0.35,send_ack_simulated
1767954556.3836124,912.99,0.35,send_ack_simulated
1767954556.3842938,912.99,0.43,send_ack_simulated
1767954556.384803,912.99,0.21,send_ack_simulated
1767954556.384983,912.99,0.29,send_ack_simulated
1767954556.3852344,912.99,0.21,send_ack_simulated
1767954584.393701,941.00,0.06,send_ack_simulated
1767954584.3960009,941.00,0.45,send_ack_simulated
1767954584.3968709,941.01,0.25,send_ack_simulated
1767954584.3972194,941.01,0.02,send_ack_simulated
1767954584.3975496,941.01,0.51,send_ack_simulated
1767954584.3977976,941.01,0.66,send_ack_simulated
1767954584.397968,941.01,0.04,send_ack_simulated
1767954584.3981833,941.01,0.09,send_ack_simulated
1767954612.4066467,969.01,0.04,send_ack_simulated
1767954612.407566,969.02,0.33,send_ack_simulated
1767954612.4082813,969.02,0.19,send_ack_simulated
1767954612.4091165,969.02,0.20,send_ack_simulated
1767954612.4096007,969.02,0.96,send_ack_simulated
1767954612.4099834,969.02,0.19,send_ack_simulated
1767954612.410149,969.02,0.02,send_ack_simulated
1767954612.4103565,969.02,0.46,send_ack_simulated
1767954612.410707,969.02,0.06,send_ack_simulated
1767954640.4214318,997.03,0.02,send_ack_simulated
1767954640.4230213,997.03,0.79,send_ack_simulated
1767954640.4246073,997.03,1.30,send_ack_simulated
1767954640.425749,997.03,0.03,send_ack_simulated
1767954640.4270263,997.04,0.24,send_ack_simulated
1767954640.4274893,997.04,0.03,send_ack_simulated
1767954640.4277592,997.04,0.46,send_ack_simulated
1767954640.4279385,997.04,0.07,send_ack_simulated
1767954640.4281821,997.04,0.06,send_ack_simulated
1767954640.4283333,997.04,0.10,send_ack_simulated
1767954640.428608,997.04,0.02,send_ack_simulated
1767954668.4372292,1025.05,0.05,send_ack_simulated
1767954668.4383156,1025.05,0.03,send_ack_simulated
1767954668.438896,1025.05,0.95,send_ack_simulated
1767954668.4391062,1025.05,0.02,send_ack_simulated
1767954668.4392378,1025.05,0.25,send_ack_simulated
