timestamp,elapsed_sec,vip_sent_rate,normal_sent_rate,total_sent_rate,errors_rate
1768273640.6751454,67.03,404000,0,404000,60
1768273642.1385674,68.49,694000,0,694000,108
1768273643.2649803,69.62,422000,0,422000,50
1768273644.84839,71.20,618000,0,618000,117
1768273646.0836,72.44,482000,0,482000,71
1768273647.5188017,73.87,402000,0,402000,68
1768273648.8217034,75.17,548000,0,548000,158
1768273650.7544594,77.11,368000,0,368000,127
1768273652.4841368,78.84,670000,0,670000,258
1768273653.7289925,80.08,426000,0,426000,133
1768273654.8093805,81.16,316000,0,316000,102
1768273656.0019155,82.35,414000,0,414000,147
1768273657.1537735,83.51,468000,0,468000,155
1768273658.593725,84.95,500000,0,500000,184
1768273659.8306403,86.18,540000,0,540000,166
1768273661.2859325,87.64,552000,0,552000,190
1768273662.4155083,88.77,382000,0,382000,139
1768273663.7415204,90.09,390000,0,390000,129
1768273664.7446034,91.10,430000,0,430000,200
1768273665.752192,92.10,380000,0,380000,95
1768273666.754323,93.11,302000,0,302000,72
1768273667.7673874,94.12,246000,0,246000,60
1768273668.767693,95.12,292000,0,292000,60
1768273669.7678983,96.12,294000,0,294000,51
1768273670.771588,97.12,310000,0,310000,35
1768273671.7925098,98.14,336000,0,336000,31
1768273672.7958765,99.15,230000,0,230000,32
1768273673.796816,100.15,218000,0,218000,25
1768273674.7971208,101.15,216000,0,216000,21
1768273675.8007557,102.15,124000,0,124000,15
1768273676.8010066,103.15,66000,0,66000,14
1768273677.8014255,104.15,96000,0,96000,11
1768273678.8018427,105.15,40000,0,40000,10
1768273679.8023517,106.15,48000,0,48000,2
1768273680.8027372,107.15,12000,0,12000,2
1768273681.8031347,108.16,0,0,0,0
1768273682.803547,109.16,0,0,0,0
1768273683.8039145,110.16,0,0,0,0
1768273684.8049076,111.16,0,0,0,0
1768273685.8057919,112.16,0,0,0,0
1768273686.8063364,113.16,0,0,0,0
1768276648.0235476,52.21,7302000,0,7302000,1143
1768276649.2467036,53.44,570000,0,570000,61
1768276651.1336722,55.32,558000,0,558000,77
1768276653.7744863,57.97,648000,0,648000,119
1768276655.2081978,59.40,856000,0,856000,121
1768276656.9861796,61.18,676000,0,676000,114
1768276658.3799033,62.57,438000,0,438000,84
1768276659.4962552,63.69,500000,0,500000,98
1768276661.0567493,65.25,506000,0,506000,77
1768276662.3225613,66.51,592000,0,592000,72
1768276663.4796255,67.67,470000,0,470000,55
1768276665.1952307,69.39,502000,0,502000,138
1768276666.2799497,70.47,520000,0,520000,206
1768276667.5407116,71.73,418000,0,418000,126
1768276668.7847304,72.98,518000,0,518000,173
1768276670.007774,74.20,460000,0,460000,154
1768276671.1490567,75.34,476000,0,476000,163
1768276672.2988591,76.49,418000,0,418000,182
1768276673.503861,77.69,412000,0,412000,159
1768276674.754986,78.95,466000,0,466000,150
1768276676.0176764,80.21,456000,0,456000,149
1768276677.296716,81.49,442000,0,442000,158
1768276678.6360614,82.83,560000,0,560000,205
1768276679.712151,83.90,420000,0,420000,264
1768276680.794348,84.98,348000,0,348000,231
1768276681.7965043,85.99,324000,0,324000,212
1768276682.7974274,86.99,382000,0,382000,235
1768276683.8108163,88.00,252000,0,252000,236
1768276684.820345,89.01,384000,0,384000,247
1768276685.8362155,90.03,264000,0,264000,238
1768276686.839012,91.03,254000,0,254000,212
1768276687.839232,92.03,336000,0,336000,112
1768276688.8395245,93.03,328000,0,328000,100
1768276689.8397734,94.03,264000,0,264000,97
1768276690.8523726,95.04,292000,0,292000,77
1768276691.8562381,96.05,348000,0,348000,80
1768276692.8564467,97.05,200000,0,200000,68
1768276693.8769913,98.07,274000,0,274000,57
1768276694.8916962,99.08,296000,0,296000,55
1768276695.8919566,100.08,360000,0,360000,38
1768276696.8927865,101.08,256000,0,256000,35
1768276697.8930366,102.08,308000,0,308000,34
1768276698.9056592,103.10,214000,0,214000,29
1768276699.9079716,104.10,244000,0,244000,27
1768276700.9082727,105.10,120000,0,120000,23
1768276701.9086082,106.10,84000,0,84000,18
1768276702.9088545,107.10,108000,0,108000,9
1768276703.9092195,108.10,90000,0,90000,6
1768276704.9095895,109.10,78000,0,78000,7
1768276705.909881,110.10,14000,0,14000,3
1768276706.9104505,111.10,0,0,0,0
1768276707.9107192,112.10,0,0,0,0
1768276708.9109378,113.10,0,0,0,0
1768276709.911238,114.10,0,0,0,0
1768276710.9115198,115.10,0,0,0,0
1768276711.9117627,116.10,0,0,0,0
1768276712.9119744,117.10,0,0,0,0
1768276713.9122128,118.10,0,0,0,0
1768276714.9124305,119.10,0,0,0,0
1768276715.9126353,120.10,0,0,0,0
1768276716.9128556,121.10,0,0,0,0
1768276717.9131477,122.10,0,0,0,0
1768276718.9134262,123.10,0,0,0,0
1768276719.913721,124.10,0,0,0,0
1768276720.9139233,125.10,0,0,0,0
1768276721.9141698,126.10,0,0,0,0
1768276722.9144444,127.10,0,0,0,0
1768276723.9146638,128.11,0,0,0,0
1768276724.915078,129.11,0,0,0,0
1768276725.915371,130.11,0,0,0,0
1768276726.9156082,131.11,0,0,0,0
1768276727.9158833,132.11,0,0,0,0
1768276728.916135,133.11,0,0,0,0
1768276729.9163547,134.11,0,0,0,0
1768276730.9166346,135.11,0,0,0,0
1768276731.9168668,136.11,0,0,0,0
1768276732.9171667,137.11,0,0,0,0
1768276733.917399,138.11,0,0,0,0
1768276734.9176736,139.11,0,0,0,0
1768276735.9178715,140.11,0,0,0,0
1768276736.9181159,141.11,0,0,0,0
1768276737.9183946,142.11,0,0,0,0
1768276738.9186497,143.11,0,0,0,0
1768276739.9188378,144.11,0,0,0,0
1768276740.9190156,145.11,0,0,0,0
1768276741.9193087,146.11,0,0,0,0
1768276742.9195633,147.11,0,0,0,0
1768276743.919966,148.11,0,0,0,0
1768276744.9201977,149.11,0,0,0,0
1768276745.9204936,150.11,0,0,0,0
1768276746.9207933,151.11,0,0,0,0
1768276747.9210153,152.11,0,0,0,0
1768276748.921311,153.11,0,0,0,0
1768276749.9216053,154.11,0,0,0,0
1768276750.921807,155.11,0,0,0,0
1768276751.9220507,156.11,0,0,0,0
1768276752.922345,157.11,0,0,0,0
1768276753.9226494,158.11,0,0,0,0
1768276754.9229333,159.11,0,0,0,0
1768276755.9232414,160.11,0,0,0,0
1768276756.9235818,161.11,0,0,0,0
1768276757.9238768,162.11,0,0,0,0
1768276758.9241571,163.11,0,0,0,0
1768276759.9244373,164.11,0,0,0,0
1768276760.9246354,165.12,0,0,0,0
1768276761.9249902,166.12,0,0,0,0
1768276762.9253128,167.12,0,0,0,0
1768276763.9255598,168.12,0,0,0,0
1768276764.9258368,169.12,0,0,0,0
1768276765.9260564,170.12,0,0,0,0
1768276766.926361,171.12,0,0,0,0
1768276767.9266496,172.12,0,0,0,0
1768276768.9269526,173.12,0,0,0,0
1768276769.927179,174.12,0,0,0,0
1768276770.9274714,175.12,0,0,0,0
1768276771.9277177,176.12,0,0,0,0
1768276772.9279428,177.12,0,0,0,0
1768276773.9282162,178.12,0,0,0,0
1768276774.9284525,179.12,0,0,0,0
1768276775.9288476,180.12,0,0,0,0
1768276776.9291508,181.12,0,0,0,0
1768276777.9294648,182.12,0,0,0,0
1768276778.929763,183.12,0,0,0,0
1768276779.9300778,184.12,0,0,0,0
1768276780.9303215,185.12,0,0,0,0
1768276781.930681,186.12,0,0,0,0
1768276782.930886,187.12,0,0,0,0
1768276783.9311225,188.12,0,0,0,0
1768276784.931375,189.12,0,0,0,0
1768276785.9318976,190.12,0,0,0,0
1768276786.932293,191.12,0,0,0,0
1768276787.9332244,192.12,0,0,0,0
1768276788.9335783,193.12,0,0,0,0
1768276789.9339397,194.12,0,0,0,0
1768276790.9342682,195.12,0,0,0,0
1768276791.9347746,196.13,0,0,0,0
1768276792.9350252,197.13,0,0,0,0
1768276793.9352386,198.13,0,0,0,0
1768276794.9355152,199.13,0,0,0,0
1768276795.9357486,200.13,0,0,0,0
1768276796.9360456,201.13,0,0,0,0
1768276797.9363198,202.13,0,0,0,0
1768276798.936644,203.13,0,0,0,0
1768276799.9369433,204.13,0,0,0,0
1768276800.937159,205.13,0,0,0,0
1768276801.9373927,206.13,0,0,0,0
1768276802.93761,207.13,0,0,0,0
1768276803.937917,208.13,0,0,0,0
1768276804.9382124,209.13,0,0,0,0
1768276805.9384396,210.13,0,0,0,0
1768276806.93865,211.13,0,0,0,0
1768276807.9388485,212.13,0,0,0,0
1768276808.9390397,213.13,0,0,0,0
1768276809.9393287,214.13,0,0,0,0
1768276810.9395986,215.13,0,0,0,0
1768276811.9399352,216.13,0,0,0,0
